Ingredient,Label,Usage_Count,Mean_Rank,Std_Rank,Median_Rank,Mean_Price,Dry_Rate,Oily_Rate,Normal_Rate,Combination_Rate,Brand_Count
stearyl alcohol,Moisturizer,18,4.338888888888889,0.261531437518432,4.3,94.66666666666667,0.6111111111111112,0.4444444444444444,0.6666666666666666,0.4444444444444444,8
peg stearate,Moisturizer,65,4.2953846153846165,0.283080581080044,4.3,74.46153846153847,0.6615384615384615,0.5538461538461539,0.7230769230769231,0.6307692307692307,29
myristyl myristate,Moisturizer,14,4.228571428571429,0.24629117048595286,4.3,83.35714285714286,0.6428571428571429,0.42857142857142855,0.6428571428571429,0.5,9
pentaerythrityl tetraethylhexanoate,Moisturizer,14,4.321428571428571,0.21187286256174934,4.35,88.35714285714286,0.7142857142857143,0.5714285714285714,0.7857142857142857,0.6428571428571429,9
prunus armeniaca kernel oil,Moisturizer,6,4.433333333333334,0.24221202832779942,4.4,90.0,1.0,1.0,1.0,1.0,6
glyceryl stearate,Moisturizer,74,4.231081081081081,0.5811951964267257,4.3,67.86486486486487,0.6486486486486487,0.581081081081081,0.7027027027027027,0.6756756756756757,36
imperata cylindrica root extract,Moisturizer,6,4.283333333333333,0.1471960144387978,4.35,38.0,0.8333333333333334,0.8333333333333334,1.0,1.0,4
palmitic acid,Moisturizer,17,4.247058823529412,0.2672022807229187,4.3,63.588235294117645,0.6470588235294118,0.5294117647058824,0.7058823529411765,0.5882352941176471,9
acrylates c alkyl acrylate crosspolymer,Moisturizer,50,4.29,0.23057160559384254,4.3,60.94,0.66,0.68,0.76,0.72,24
triethanolamine,Moisturizer,14,4.007142857142857,1.192582385939331,4.3,62.714285714285715,0.7142857142857143,0.5,0.6428571428571429,0.7857142857142857,7
prunus amygdalus dulcis oil,Moisturizer,8,4.375,0.23145502494313783,4.4,112.75,0.875,0.875,0.875,0.875,6
pseudoalteromonas ferment extract,Moisturizer,5,4.36,0.23021728866442692,4.4,30.2,0.8,0.6,1.0,0.8,1
betaine,Moisturizer,24,4.2875000000000005,0.23463662933584556,4.3,54.041666666666664,0.5416666666666666,0.5833333333333334,0.5833333333333334,0.625,15
polymethyl methacrylate,Moisturizer,9,4.166666666666667,0.2000000000000001,4.1,74.0,0.6666666666666666,0.5555555555555556,0.6666666666666666,0.6666666666666666,7
citrus limon peel oil,Moisturizer,9,4.311111111111112,0.3620926830400072,4.4,72.44444444444444,0.8888888888888888,0.7777777777777778,0.8888888888888888,0.7777777777777778,3
cucumis sativus fruit extract,Moisturizer,17,4.011764705882353,1.0758033933653819,4.2,46.94117647058823,0.47058823529411764,0.47058823529411764,0.4117647058823529,0.5294117647058824,8
